https://city.imd.gov.in/citywx/city_weather.php?id=42571,Satna,39.9,21.3,NIL,16,18:25,05:54,01:53,12:39,Clear sky,07-Apr,Clear sky,08-Apr,Clear sky,09-Apr,Clear sky,10-Apr,Clear sky,11-Apr,Mainly Clear sky,12-Apr,Mainly Clear sky
https://city.imd.gov.in/citywx/city_weather.php?id=43128,Hyderabad,37.0,24.6,NIL,21,18:30,06:07,01:46,13:05,Partly cloudy sky with possibility of development of thunder lightning,07-Apr,Partly cloudy sky with possibility of development of thunder lightning,08-Apr,Partly cloudy sky with haze,09-Apr,Partly cloudy sky with haze,10-Apr,Partly cloudy sky with haze,11-Apr,Partly cloudy sky with possibility of rain or Thunderstorm,12-Apr,Partly cloudy sky with possibility of rain or Thunderstorm
https://city.imd.gov.in/citywx/city_weather.php?id=42798,Jamshedpur,40.3,24.4,NIL,18,18:02,05:33,01:27,12:21,Mainly Clear sky,07-Apr,Partly cloudy sky towards afternoon or evening,08-Apr,Partly cloudy sky with possibility of rain or Thunderstorm or Duststorm,09-Apr,Partly cloudy sky with possibility of rain or Thunderstorm or Duststorm,10-Apr,Partly cloudy sky with possibility of rain or Thunderstorm or Duststorm,11-Apr,Rain or Thundershowers,12-Apr,Rain or Thundershowers
https://city.imd.gov.in/citywx/city_weather.php?id=42782,Bilaspur,41.0,22.9,NIL,19,18:18,05:50,01:42,12:39,Mainly Clear sky,07-Apr,Mainly Clear sky,08-Apr,Partly cloudy sky,09-Apr,Partly cloudy sky with possibility of rain or Thunderstorm or Duststorm,10-Apr,Partly cloudy sky with possibility of rain or Thunderstorm or Duststorm,11-Apr,Partly cloudy sky,12-Apr,Partly cloudy sky with possibility of rain or Thunderstorm
https://city.imd.gov.in/citywx/city_weather.php?id=42066,Kalpa,23.4,5.4,NIL,20,18:39,06:00,02:22,12:33,Mainly Clear sky,07-Apr,Mainly Clear sky,08-Apr,Partly cloudy sky,09-Apr,Generally cloudy sky with Light rain,10-Apr,Generally cloudy sky with Light rain,11-Apr,Rain,12-Apr,Rain
https://city.imd.gov.in/citywx/city_weather.php?id=42081,Kullu,32.8,8.4,NIL,32,18:44,06:04,02:28,12:37,Mainly Clear sky,07-Apr,Mainly Clear sky,08-Apr,Partly cloudy sky,09-Apr,Thunderstorm with rain,10-Apr,Thunderstorm with rain,11-Apr,Rain,12-Apr,Rain
https://city.imd.gov.in/citywx/city_weather.php?id=43333,Port Blair,29.6,24.7,13,81,17:30,05:13,00:35,12:17,Generally cloudy sky with a few spells of rain or thundershowers,07-Apr,Generally cloudy sky with a few spells of rain or thundershowers,08-Apr,Generally cloudy sky with one or two spells of rain or thundershowers,09-Apr,Generally cloudy sky with one or two spells of rain or thundershowers,10-Apr,Generally cloudy sky with one or two spells of rain or thundershowers,11-Apr,Generally cloudy sky with possibility of rain or Thunderstorm,12-Apr,Generally cloudy sky with possibility of rain or Thunderstorm
https://city.imd.gov.in/citywx/city_weather.php?id=42693,Ambikapur,37.5,19.0,NIL,17,18:15,05:46,01:41,12:33,Mainly Clear sky,07-Apr,Mainly Clear sky,08-Apr,Partly cloudy sky,09-Apr,Partly cloudy sky,10-Apr,Partly cloudy sky with possibility of rain or Thunderstorm or Duststorm,11-Apr,Partly cloudy sky,12-Apr,Partly cloudy sky
https://city.imd.gov.in/citywx/city_weather.php?id=8205,Chamba,NA,11.2,NIL,NA,18:49,06:07,02:34,12:39,Mainly Clear sky,07-Apr,Mainly Clear sky,08-Apr,Partly cloudy sky,09-Apr,Thunderstorm with rain,10-Apr,Thunderstorm with rain,11-Apr,Rain,12-Apr,Partly cloudy sky
https://city.imd.gov.in/citywx/city_weather.php?id=42874,Raipur-Lalpur,40.8,24.9,NIL,27,18:20,05:52,01:42,12:43,Mainly Clear sky,07-Apr,Mainly Clear sky,08-Apr,Partly cloudy sky with possibility of rain or Thunderstorm or Duststorm,09-Apr,Partly cloudy sky with possibility of rain or Thunderstorm or Duststorm,10-Apr,Partly cloudy sky,11-Apr,Partly cloudy sky,12-Apr,Partly cloudy sky with possibility of rain or Thunderstorm
https://city.imd.gov.in/citywx/city_weather.php?id=42079,Sundernagar,34.3,12.0,NIL,34,18:45,06:05,02:28,12:39,Mainly Clear sky,07-Apr,Mainly Clear sky,08-Apr,Mainly Clear sky,09-Apr,Partly cloudy sky,10-Apr,Partly cloudy sky,11-Apr,Rain,12-Apr,Partly cloudy sky
https://city.imd.gov.in/citywx/city_weather.php?id=42083,Shimla-City,25.5,14.5,NIL,88,18:43,06:04,02:25,12:39,Mainly Clear sky,07-Apr,Mainly Clear sky,08-Apr,Partly cloudy sky,09-Apr,Partly cloudy sky,10-Apr,Generally cloudy sky with Light rain,11-Apr,Rain,12-Apr,Partly cloudy sky
https://city.imd.gov.in/citywx/city_weather.php?id=90135,Kufri,NA,8.9,NIL,NA,--,--,--,--,Mainly Clear sky,07-Apr,Mainly Clear sky,08-Apr,Partly cloudy sky,09-Apr,Partly cloudy sky,10-Apr,Generally cloudy sky with Light rain,11-Apr,Partly cloudy sky,12-Apr,Partly cloudy sky
https://city.imd.gov.in/citywx/city_weather.php?id=42077,Una,NA,11.4,NIL,NA,18:47,06:08,02:30,12:41,Mainly Clear sky,07-Apr,Mainly Clear sky,08-Apr,Mainly Clear sky,09-Apr,Partly cloudy sky,10-Apr,Generally cloudy sky with Light rain,11-Apr,Rain,12-Apr,Rain
